ID,Lat,Lon,Open_From,Open_To,Needed_Amount
1,4.85128,100.73798,3/22/2019 8:00,3/22/2019 18:00,24
2,4.86595,100.7276,3/22/2019 8:30,3/22/2019 20:00,10
3,4.86039,100.74415,3/22/2019 7:00,3/22/2019 17:00,48
4,4.8404,100.63342,3/22/2019 7:30,3/22/2019 17:30,34
5,4.85024,100.74037,3/22/2019 6:00,3/22/2019 20:00,29
6,4.82097,100.70457,3/22/2019 8:30,3/22/2019 18:00,77
7,4.84999,100.73386,3/22/2019 10:00,3/22/2019 22:00,23
8,4.84324,100.73754,3/22/2019 8:00,3/22/2019 18:00,17
9,4.85261,100.71637,3/22/2019 8:30,3/22/2019 20:00,82
10,4.83185,100.72279,3/22/2019 7:00,3/22/2019 17:00,44
11,4.83307,100.72902,3/22/2019 7:30,3/22/2019 17:30,25
12,4.78708,100.71959,3/22/2019 6:00,3/22/2019 20:00,148
13,4.84712,100.74031,3/22/2019 8:30,3/22/2019 18:00,33
